sample,group,SNP NAME
5263281131_R10C01,282,CML281
5263281131_R10C02,282,CML311
5263281131_R11C01,282,CML314
5263281131_R11C02,282,CML323
5263281131_R12C01,282,CML321
5263281131_R12C02,282,CML328
5263281133_R01C01,282,CML331
5263281133_R01C02,282,CML341
5263281133_R02C01,282,CML332
5263281133_R02C02,282,CML38
5263281133_R03C01,282,CML45
5263281133_R03C02,282,CML61
5263281133_R04C01,282,CML5
5263281133_R04C02,282,CML77
5263281133_R05C01,282,CML91
5263281133_R05C02,282,CMV3
5263281133_R06C01,282,CML92
5263281133_R06C02,282,CO125
5263281133_R07C01,282,CO255
5263281133_R07C02,282,DE1
5263281133_R08C01,282,D940Y
5263281133_R08C02,282,DE_2
5263281133_R09C01,282,DE811
5263281133_R09C02,282,E2558W
5263281133_R10C01,282,DE_3
5263281133_R10C02,282,EP1
5263281133_R11C01,282,F2834T
5263281133_R11C02,282,IA2132
5263281133_R12C01,282,F44
5263281133_R12C02,282,IA5125
WG0096796-DNAA02,25DL,CML103
WG0096796-DNAA04,25DL,NC350
WG0096796-DNAB02,25DL,CML228
WG0096796-DNAB03,25DL,Ki3
WG0096796-DNAB04,25DL,NC358
WG0096796-DNAC02,25DL,CML247
WG0096796-DNAC03,25DL,Ki11
WG0096796-DNAC04,25DL,Oh7B
WG0096796-DNAD02,25DL,CML277
WG0096796-DNAD03,25DL,Ky21
WG0096796-DNAD04,25DL,Oh43
WG0096796-DNAE02,25DL,CML322
WG0096796-DNAE03,25DL,M37W
WG0096796-DNAE04,25DL,P39
WG0096796-DNAF01,25DL,B97
WG0096796-DNAF02,25DL,CML333
WG0096796-DNAF03,25DL,M162W
WG0096796-DNAF04,25DL,Tx303
WG0096796-DNAG01,25DL,CML52
WG0096796-DNAG02,25DL,Hp301
WG0096796-DNAG03,25DL,MO18W
WG0096796-DNAH01,25DL,CMlL69
WG0096796-DNAH02,25DL,Il14H
WG0096796-DNAH03,25DL,MS71
WG0096796-DNAH04,25DL,W22 R-scm std
5247002004_R01C01,Control,B73
5247002084_R01C01,Control,B73
5247002099_R09C02,Control,B73
WG0096795-DNAA01,Control,B73
WG0096795-DNAA12,Control,Mo17
WG0096796-DNAA01,Control,B73
WG0096796-DNAA03,Control,B73xMo17
WG0096796-DNAA12,Control,Mo17
WG0096797-DNAA01,Control,B73
WG0096797-DNAA04,Control,B73xMo17
WG0096797-DNAA12,Control,Mo17
5225831010_R01C02,Gradient test,B73xB97 NAM F1
5225831010_R02C01,Gradient test,B73 100/0
5225831010_R04C01,Gradient test,B97 100/0
5225831010_R06C01,Gradient test,B73/B97 80/20
5225831010_R08C01,Gradient test,B73/B97 60/40
5225831010_R10C01,Gradient test,B73/B97 40/60
5225831010_R12C01,Gradient test,B73/B97 20/80
5225831010_R01C01,Holland pop,B97xKi14
5225831010_R03C01,Holland pop,B73xKi14
5225831010_R05C01,Holland pop,JH W22 633-6
5225831010_R07C01,Holland pop,JH W22 924-7
5225831010_R09C01,Holland pop,JH F1 101-4
5225831010_R11C01,Holland pop,JH F1 104-3
WG0096796-DNAB12,Holland pop,Ki14
WG0096796-DNAC12,Holland pop,Ki14
WG0096796-DNAD12,Holland pop,B73xCML254
WG0096796-DNAF11,Holland pop,B97
WG0096796-DNAF12,Holland pop,B97xCML254
WG0096796-DNAG11,Holland pop,CML254
WG0096796-DNAH11,Holland pop,CML254
5247002004_R04C02,IBM,M0003
5247002004_R06C02,IBM,M0009
5247002004_R08C02,IBM,M0011
5247002004_R10C02,IBM,M0013
5247002004_R12C02,IBM,M0018
5247002028_R01C01,IBM,M0019
5247002028_R01C02,IBM,M0081
5247002028_R02C01,IBM,M0047
5247002028_R02C02,IBM,M0088
5247002028_R03C01,IBM,M0026
5247002028_R03C02,IBM,M0082
5247002028_R04C01,IBM,M0056
5247002028_R04C02,IBM,M0090
5247002028_R05C01,IBM,M0036
5247002028_R05C02,IBM,M0083
5247002028_R06C01,IBM,M0059
5247002028_R06C02,IBM,M0092
5247002028_R07C01,IBM,M0038
5247002028_R07C02,IBM,M0085
5247002028_R08C01,IBM,M0068
5247002028_R08C02,IBM,M0093
5247002028_R09C01,IBM,M0041
5247002028_R09C02,IBM,M0086
5247002028_R10C01,IBM,M0071
5247002028_R10C02,IBM,M0095
5247002028_R11C01,IBM,M0042
5247002028_R11C02,IBM,M0087
5247002028_R12C01,IBM,M0080
5247002028_R12C02,IBM,M0096
5247002031_R01C01,IBM,M0097
5247002031_R01C02,IBM,M0115
5247002031_R02C01,IBM,M0106
5247002031_R02C02,IBM,M0124
5247002031_R03C01,IBM,M0098
5247002031_R03C02,IBM,M0116
5247002031_R04C01,IBM,M0109
5247002031_R04C02,IBM,M0125
5247002031_R05C01,IBM,M0099
5247002031_R05C02,IBM,M0118
5247002031_R06C01,IBM,M0110
5247002031_R06C02,IBM,M0126
5247002031_R07C01,IBM,M0101
5247002031_R07C02,IBM,M0119
5247002031_R08C01,IBM,M0111
5247002031_R08C02,IBM,M0127
5247002031_R09C01,IBM,M0102
5247002031_R09C02,IBM,M0121
5247002031_R10C01,IBM,M0113
5247002031_R10C02,IBM,M0128
5247002031_R11C01,IBM,M0105
5247002031_R11C02,IBM,M0123
5247002031_R12C01,IBM,M0114
5247002031_R12C02,IBM,M0129
5247002081_R01C01,IBM,M0130
5247002081_R01C02,IBM,M0153
5247002081_R02C01,IBM,M0142
5247002081_R02C02,IBM,M0161
5247002081_R03C01,IBM,M0131
5247002081_R03C02,IBM,M0154
5247002081_R04C01,IBM,M0143
5247002081_R04C02,IBM,M0162
5247002081_R05C01,IBM,M0132
5247002081_R05C02,IBM,M0156
5247002081_R06C01,IBM,M0145
5247002081_R06C02,IBM,M0163
5247002081_R07C01,IBM,M0133
5247002081_R07C02,IBM,M0157
5247002081_R08C01,IBM,M0146
5247002081_R08C02,IBM,M0164
5247002081_R09C01,IBM,M0138
5247002081_R09C02,IBM,M0159
5247002081_R10C01,IBM,M0151
5247002081_R10C02,IBM,M0165
5247002081_R11C01,IBM,M0141
5247002081_R11C02,IBM,M0160
5247002081_R12C01,IBM,M0152
5247002081_R12C02,IBM,M0167
5247002082_R01C01,IBM,M0168
5247002082_R01C02,IBM,M0183
5247002082_R02C01,IBM,M0175
5247002082_R02C02,IBM,M0189
5247002082_R03C01,IBM,M0169
5247002082_R03C02,IBM,M0184
5247002082_R04C01,IBM,M0176
5247002082_R04C02,IBM,M0190
5247002082_R05C01,IBM,M0170
5247002082_R05C02,IBM,M0185
5247002082_R06C01,IBM,M0177
5247002082_R06C02,IBM,M0191
5247002082_R07C01,IBM,M0171
5247002082_R07C02,IBM,M0186
5247002082_R08C01,IBM,M0180
5247002082_R08C02,IBM,M0192
5247002082_R09C01,IBM,M0172
5247002082_R09C02,IBM,M0187
5247002082_R10C01,IBM,M0181
5247002082_R10C02,IBM,M0194
5247002082_R11C01,IBM,M0174
5247002082_R11C02,IBM,M0188
5247002082_R12C01,IBM,M0182
5247002082_R12C02,IBM,M0195
5247002084_R01C02,IBM,M0213
5247002084_R02C01,IBM,M0201
5247002084_R02C02,IBM,M0222
5247002084_R03C01,IBM,M0196
5247002084_R03C02,IBM,M0215
5247002084_R04C01,IBM,M0202
5247002084_R04C02,IBM,M0223
5247002084_R05C01,IBM,M0197
5247002084_R05C02,IBM,M0216
5247002084_R06C01,IBM,M0204
5247002084_R06C02,IBM,M0224
5247002084_R07C01,IBM,M0198
5247002084_R07C02,IBM,M0218
5247002084_R08C01,IBM,M0205
5247002084_R08C02,IBM,M0225
5247002084_R09C01,IBM,M0199
5247002084_R09C02,IBM,M0219
5247002084_R10C01,IBM,M0209
5247002084_R10C02,IBM,M0228
5247002084_R11C01,IBM,M0200
5247002084_R11C02,IBM,M0220
5247002084_R12C01,IBM,M0210
5247002084_R12C02,IBM,M0229
5247002085_R01C01,IBM,M0230
5247002085_R01C02,IBM,M0253
5247002085_R02C01,IBM,M0240
5247002085_R02C02,IBM,M0270
5247002085_R03C01,IBM,M0232
5247002085_R03C02,IBM,M0255
5247002085_R04C01,IBM,M0241
5247002085_R04C02,IBM,M0271
5247002085_R05C01,IBM,M0233
5247002085_R05C02,IBM,M0256
5247002085_R06C01,IBM,M0244
5247002085_R06C02,IBM,M0274
5247002085_R07C01,IBM,M0236
5247002085_R07C02,IBM,M0258
5247002085_R08C01,IBM,M0246
5247002085_R08C02,IBM,M0277
5247002085_R09C01,IBM,M0237
5247002085_R09C02,IBM,M0263
5247002085_R10C01,IBM,M0248
5247002085_R10C02,IBM,M0278
5247002085_R11C01,IBM,M0238
5247002085_R11C02,IBM,M0268
5247002085_R12C01,IBM,M0250
5247002085_R12C02,IBM,M0279
5247002089_R01C01,IBM,M0280
5247002089_R01C02,IBM,M0305
5247002089_R02C01,IBM,M0295
5247002089_R02C02,IBM,M0319
5247002089_R03C01,IBM,M0282
5247002089_R03C02,IBM,M0307
5247002089_R04C01,IBM,M0300
5247002089_R04C02,IBM,M0320
5247002089_R05C01,IBM,M0283
5247002089_R05C02,IBM,M0308
5247002089_R06C01,IBM,M0301
5247002089_R06C02,IBM,M0327
5247002089_R07C01,IBM,M0286
5247002089_R07C02,IBM,M0313
5247002089_R08C01,IBM,M0302
5247002089_R08C02,IBM,M0329
5247002089_R09C01,IBM,M0289
5247002089_R09C02,IBM,M0314
5247002089_R10C01,IBM,M0303
5247002089_R10C02,IBM,M0331
5247002089_R11C01,IBM,M0292
5247002089_R11C02,IBM,M0318
5247002089_R12C01,IBM,M0304
5247002089_R12C02,IBM,M0334
5247002099_R02C02,IBM,M0336
5247002099_R04C02,IBM,M0338
5247002099_R06C02,IBM,M0340
5247002099_R08C02,IBM,M0342
5247002099_R10C02,IBM,M0347
5247002099_R11C02,IBM,M0335
WG0096796-DNAH12,IBM_NAM,M0191
WG0096795-DNAA03,IBM94,M0015
WG0096795-DNAA04,IBM94,M0034
WG0096795-DNAA05,IBM94,M0048
WG0096795-DNAA06,IBM94,M0061
WG0096795-DNAA07,IBM94,M0077
WG0096795-DNAA08,IBM94,M0272
WG0096795-DNAA09,IBM94,M0297
WG0096795-DNAA10,IBM94,M0322
WG0096795-DNAA11,IBM94,M0345
WG0096795-DNAB01,IBM94,M0001
WG0096795-DNAB02,IBM94,M0025
WG0096795-DNAB03,IBM94,M0017
WG0096795-DNAB04,IBM94,M0035
WG0096795-DNAB05,IBM94,M0051
WG0096795-DNAB06,IBM94,M0062
WG0096795-DNAB07,IBM94,M0079
WG0096795-DNAB08,IBM94,M0275
WG0096795-DNAB09,IBM94,M0298
WG0096795-DNAB10,IBM94,M0323
WG0096795-DNAB11,IBM94,M0346
WG0096795-DNAB12,IBM94,M0365
WG0096795-DNAC01,IBM94,M0007
WG0096795-DNAC02,IBM94,M0028
WG0096795-DNAC03,IBM94,M0022
WG0096795-DNAC04,IBM94,M0039
WG0096795-DNAC05,IBM94,M0052
WG0096795-DNAC06,IBM94,M0063
WG0096795-DNAC07,IBM94,M0262
WG0096795-DNAC08,IBM94,M0276
WG0096795-DNAC09,IBM94,M0309
WG0096795-DNAC10,IBM94,M0325
WG0096795-DNAC11,IBM94,M0352
WG0096795-DNAC12,IBM94,M0368
WG0096795-DNAD01,IBM94,M0010
WG0096795-DNAD02,IBM94,M0030
WG0096795-DNAD03,IBM94,M0024
WG0096795-DNAD04,IBM94,M0040
WG0096795-DNAD05,IBM94,M0054
WG0096795-DNAD06,IBM94,M0066
WG0096795-DNAD07,IBM94,M0264
WG0096795-DNAD08,IBM94,M0281
WG0096795-DNAD09,IBM94,M0310
WG0096795-DNAD10,IBM94,M0326
WG0096795-DNAD11,IBM94,M0354
WG0096795-DNAD12,IBM94,M0369
WG0096795-DNAE01,IBM94,M0014
WG0096795-DNAE02,IBM94,M0032
WG0096795-DNAE03,IBM94,M0027
WG0096795-DNAE04,IBM94,M0043
WG0096795-DNAE05,IBM94,M0055
WG0096795-DNAE06,IBM94,M0067
WG0096795-DNAE07,IBM94,M0265
WG0096795-DNAE08,IBM94,M0284
WG0096795-DNAE09,IBM94,M0311
WG0096795-DNAE10,IBM94,M0328
WG0096795-DNAE11,IBM94,M0355
WG0096795-DNAE12,IBM94,M0378
WG0096795-DNAF01,IBM94,M0016
WG0096795-DNAF02,IBM94,M0005
WG0096795-DNAF03,IBM94,M0029
WG0096795-DNAF04,IBM94,M0044
WG0096795-DNAF05,IBM94,M0057
WG0096795-DNAF06,IBM94,M0074
WG0096795-DNAF07,IBM94,M0266
WG0096795-DNAF08,IBM94,M0287
WG0096795-DNAF09,IBM94,M0315
WG0096795-DNAF10,IBM94,M0337
WG0096795-DNAF11,IBM94,M0357
WG0096795-DNAF12,IBM94,M0379
WG0096795-DNAG01,IBM94,M0021
WG0096795-DNAG02,IBM94,M0008
WG0096795-DNAG03,IBM94,M0031
WG0096795-DNAG04,IBM94,M0045
WG0096795-DNAG05,IBM94,M0058
WG0096795-DNAG06,IBM94,M0075
WG0096795-DNAG07,IBM94,M0267
WG0096795-DNAG08,IBM94,M0288
WG0096795-DNAG09,IBM94,M0317
WG0096795-DNAG10,IBM94,M0341
WG0096795-DNAG11,IBM94,M0360
WG0096795-DNAG12,IBM94,M0382
WG0096795-DNAH01,IBM94,M0023
WG0096795-DNAH02,IBM94,M0012
WG0096795-DNAH03,IBM94,M0033
WG0096795-DNAH04,IBM94,M0046
WG0096795-DNAH05,IBM94,M0060
WG0096795-DNAH06,IBM94,M0076
WG0096795-DNAH07,IBM94,M0269
WG0096795-DNAH08,IBM94,M0296
WG0096795-DNAH09,IBM94,M0321
WG0096795-DNAH10,IBM94,M0344
WG0096795-DNAH11,IBM94,M0364
WG0096795-DNAH12,IBM94,M0383
WG0096796-DNAB01,IBM94,M0384
5225831007_R01C01,Iowegian,Tr 9-1-1-6
5225831007_R01C02,Iowegian,B42
5225831007_R02C01,Iowegian,B14A
5225831007_R02C02,Iowegian,I205
5225831007_R03C01,Iowegian,Os420
5225831007_R03C02,Iowegian,B43
5225831007_R04C01,Iowegian,B10
5225831007_R04C02,Iowegian,Ill. 12E
5225831007_R05C01,Iowegian,Oh3167B
5225831007_R05C02,Iowegian,A340
5225831007_R06C01,Iowegian,B37
5225831007_R06C02,Iowegian,Oh33
5225831007_R07C01,Iowegian,R4
5225831007_R07C02,Iowegian,B44
5225831007_R08C01,Iowegian,B17
5225831007_R08C02,Iowegian,I159
5225831007_R09C01,Iowegian,P8
5225831007_R09C02,Iowegian,B69
5225831007_R10C01,Iowegian,B39
5225831007_R10C02,Iowegian,B90
5225831007_R11C01,Iowegian,AH83
5225831007_R11C02,Iowegian,I224
5225831007_R12C01,Iowegian,B40
5225831007_R12C02,Iowegian,B54
5225831008_R01C01,Iowegian,CI540
5225831008_R01C02,Iowegian,B78
5225831008_R02C01,Iowegian,B72
5225831008_R02C02,Iowegian,A3G-3-3-1-313)-01
5225831008_R03C01,Iowegian,B84
5225831008_R03C02,Iowegian,B94
5225831008_R04C01,Iowegian,B99
5225831008_R04C02,Iowegian,B11
5225831008_R05C01,Iowegian,Ind. B2
5225831008_R05C02,Iowegian,B89
5225831008_R06C01,Iowegian,B95
5225831008_R06C02,Iowegian,CC5
5225831008_R07C01,Iowegian,Oh51A
5225831008_R07C02,Iowegian,Hy
5225831008_R08C01,Iowegian,B91
5225831008_R08C02,Iowegian,Ind461(744)
5225831008_R09C01,Iowegian,Oh07
5225831008_R09C02,Iowegian,Oh40B
5225831008_R10C01,Iowegian,Fe
5225831008_R10C02,Iowegian,LE23
5225831008_R11C01,Iowegian,B67
5225831008_R11C02,Iowegian,CI187-2
5225831008_R12C01,Iowegian,L317
5225831010_R02C02,JD Landrace,MR06
5225831010_R03C02,JD Landrace,MR01
5225831010_R04C02,JD Landrace,MR07
5225831010_R05C02,JD Landrace,MR02
5225831010_R06C02,JD Landrace,MR08
5225831010_R07C02,JD Landrace,MR03
5225831010_R08C02,JD Landrace,MR09
5225831010_R09C02,JD Landrace,MR04
5225831010_R10C02,JD Landrace,MR10
5225831010_R11C02,JD Landrace,MR05
5225831010_R12C02,JD Landrace,MR11
5225831012_R01C01,JD Landrace,MR12
5225831012_R01C02,JD Landrace,MR24
5225831012_R02C01,JD Landrace,MR18
5225831012_R03C01,JD Landrace,MR13
5225831012_R03C02,JD Landrace,MR25
5225831012_R04C01,JD Landrace,MR19
5225831012_R05C01,JD Landrace,MR14
5225831012_R05C02,JD Landrace,MR26
5225831012_R06C01,JD Landrace,MR20
5225831012_R07C01,JD Landrace,MR15
5225831012_R07C02,JD Landrace,MR28
5225831012_R08C01,JD Landrace,MR21
5225831012_R09C01,JD Landrace,MR16
5225831012_R10C01,JD Landrace,MR22
5225831012_R11C01,JD Landrace,MR17
5225831012_R12C01,JD Landrace,MR23
5247002004_R01C02,JD W22xTeoRIL,MR_1172.1
5247002004_R02C01,JD W22xTeoRIL,MR_0401.1
5247002004_R02C02,JD W22xTeoRIL,MR_1482.1
5247002004_R03C01,JD W22xTeoRIL,MR_0052.1
5247002004_R03C02,JD W22xTeoRIL,MR_1207.1
5247002004_R04C01,JD W22xTeoRIL,MR_0516A.1
5247002004_R05C01,JD W22xTeoRIL,MR_0067.1
5247002004_R05C02,JD W22xTeoRIL,MR_1233B.1
5247002004_R06C01,JD W22xTeoRIL,MR_0808.1
5247002004_R07C01,JD W22xTeoRIL,MR_0068.1
5247002004_R07C02,JD W22xTeoRIL,MR_1275.1
5247002004_R08C01,JD W22xTeoRIL,MR_0815.1
5247002004_R09C01,JD W22xTeoRIL,MR_0093.1
5247002004_R09C02,JD W22xTeoRIL,MR_1322.1
5247002004_R10C01,JD W22xTeoRIL,MR_0953.1
5247002004_R11C01,JD W22xTeoRIL,MR_0325.2
5247002004_R11C02,JD W22xTeoRIL,MR_1326.1
5247002004_R12C01,JD W22xTeoRIL,MR_1140.1
5225831012_R12C02,NAM F1,B73xM162W NAM F1
WG0096795-DNAA02,NAM F1,B73xMo17
WG0096796-DNAA05,NAM F1,B73xB97
WG0096796-DNAA06,NAM F1,B73xCML333
WG0096796-DNAA07,NAM F1,B73xM37W
WG0096796-DNAA08,NAM F1,B73xW22 R-r:standard(Brink)
WG0096796-DNAB05,NAM F1,B73xCML52
WG0096796-DNAB06,NAM F1,B73xHp301
WG0096796-DNAB07,NAM F1,B73xNC350
WG0096796-DNAC05,NAM F1,B73xCML69
WG0096796-DNAC06,NAM F1,B73xIL14H
WG0096796-DNAC07,NAM F1,B73xNC358
WG0096796-DNAD05,NAM F1,B73xCML103
WG0096796-DNAD06,NAM F1,B73xKi3
WG0096796-DNAD07,NAM F1,B73xOh43
WG0096796-DNAE05,NAM F1,CML228xB73
WG0096796-DNAE06,NAM F1,B73xKi11
WG0096796-DNAE07,NAM F1,B73xOh7B
WG0096796-DNAF05,NAM F1,B73xCML247
WG0096796-DNAF06,NAM F1,B73xKy21
WG0096796-DNAF07,NAM F1,B73xP39
WG0096796-DNAG05,NAM F1,B73xCML277
WG0096796-DNAG06,NAM F1,B73xMo18W
WG0096796-DNAG07,NAM F1,B73xTx303
WG0096796-DNAH05,NAM F1,B73xCML322
WG0096796-DNAH06,NAM F1,B73xMS71
5225831008_R12C02,PVP,Phh93
WG0096796-DNAC01,PVP,Florida 56
WG0096796-DNAD01,PVP,LH1
WG0096796-DNAE01,PVP,P737M20
WG0096797-DNAA02,PVP,LH38
WG0096797-DNAA03,PVP,LH132
WG0096797-DNAA05,PVP,IB014
WG0096797-DNAA06,PVP,78002A
WG0096797-DNAA07,PVP,LH52
WG0096797-DNAA08,PVP,LH146Ht
WG0096797-DNAA09,PVP,MBPM
WG0096797-DNAA10,PVP,787
WG0096797-DNAA11,PVP,PHW65
WG0096797-DNAB01,PVP,792
WG0096797-DNAB02,PVP,LH39
WG0096797-DNAB03,PVP,207
WG0096797-DNAB04,PVP,CR1HT
WG0096797-DNAB05,PVP,MBNA
WG0096797-DNAB06,PVP,LH54
WG0096797-DNAB07,PVP,PHR36
WG0096797-DNAB08,PVP,LH156
WG0096797-DNAB09,PVP,PB80
WG0096797-DNAB10,PVP,790
WG0096797-DNAB11,PVP,11430
WG0096797-DNAB12,PVP,PHT60
WG0096797-DNAC01,PVP,NQ508
WG0096797-DNAC02,PVP,LH51
WG0096797-DNAC03,PVP,PHG50
WG0096797-DNAC04,PVP,Black Jewell 85
WG0096797-DNAC05,PVP,78004
WG0096797-DNAC06,PVP,LH57
WG0096797-DNAC07,PVP,PHW17
WG0096797-DNAC08,PVP,LH60
WG0096797-DNAC09,PVP,PHG86
WG0096797-DNAC10,PVP,793
WG0096797-DNAC11,PVP,2MA22
WG0096797-DNAC12,PVP,PHW52
WG0096797-DNAD01,PVP,ML606
WG0096797-DNAD02,PVP,MDF-13D
WG0096797-DNAD03,PVP,BO9
WG0096797-DNAD04,PVP,PHG71
WG0096797-DNAD05,PVP,78010
WG0096797-DNAD06,PVP,PHG47
WG0096797-DNAD07,PVP,764
WG0096797-DNAD08,PVP,LH85
WG0096797-DNAD09,PVP,IB02
WG0096797-DNAD10,PVP,LH149
