chr,start,start_snpid,end,end_snpid,mex,nsnp,dis
1,325012,PZE-101000161,1003413,SYN8296,0.438913043478261,14,678401
1,1957167,SYN10558,2210506,SYN6001,1.31423913043478,14,253339
1,2538655,PUT-163a-5499487-2275,2716163,SYN38926,0.409788819875774,7,177508
1,3078140,SYN11122,3078783,SYN11127,1.15576086956522,2,643
1,3278670,PZE-101002919,3407925,SYN9368,1.88732274247492,13,129255
1,3708114,SYN11494,3733167,PZA02129.1,0.880282608695655,8,25053
1,3882714,PZE-101004387,3889632,SYN15069,0.38045652173913,2,6918
1,4758551,PUT-163a-50325923-2183,4758589,PUT-163a-50325923-2184,0.85066304347826,2,38
1,4862689,PZD00021.2,4994459,SYN11315,1.98354347826087,8,131770
1,5326925,SYN36149,5338021,SYN36146,0.20680434782609,6,11096
1,5540876,PZE-101008685,5653264,PZE-101009163,0.720358695652175,2,112388
1,5748338,PZE-101009312,5954473,PZE-101009670,0.32784782608696,4,206135
1,6220407,SYN6318,6236377,SYN6337,0.37368260869565,5,15970
1,8351500,SYN35551,8355740,SYN35543,1.08665217391304,5,4240
1,9052575,PZA00447.5,9060038,SYNGENTA14387,0.792473913043478,5,7463
1,9358866,SYN21172,9359168,SYN21175,0.361521739130435,4,302
1,9433811,SYN14142,9435106,SYN14138,0.35847826086957,7,1295
1,9989779,SYN5905,10096325,PZA00106.9,0.668913043478259,9,106546
1,10868783,PZE-101018702,11114825,PZE-101019350,0.623229468599034,9,246042
1,11911814,SYN20883,11952202,SYN20881,0.350471014492753,3,40388
1,12189001,SYN33821,12189099,SYN33825,0.48013043478261,2,98
1,12979261,SYN12547,13539363,SYN20039,0.32048447204969,7,560102
1,14507453,PZE-101024424,14959203,PZA01652.1,0.658456521739127,23,451750
1,15785176,SYN5066,15808888,PZE-101026314,0.39,2,23712
1,16579851,SYN14297,16784593,PUT-163a-71311320-3110,1.88272554347826,8,204742
1,17409398,PZE-101028839,17666998,PZB00718.5,0.46471304347826,5,257600
1,18980563,PZA00358.12,18986228,PZE-101030925,0.338804347826088,3,5665
1,19699766,PZE-101032246,19699932,PZE-101032249,0.386478260869565,2,166
1,20419410,SYN24828,21682502,PZE-101033613,0.921049689440998,28,1263092
1,23243643,SYNGENTA17578,23246099,SYN13195,0.380949275362317,3,2456
1,23610626,PZE-101036305,23618315,PZE-101036338,0.48321739130435,5,7689
1,24308521,SYN7039,24408873,PZE-101037142,0.23483695652174,2,100352
1,25371750,PZE-101038058,25400235,PZE-101038315,0.567489130434783,8,28485
1,26683529,PZE-101039400,26948708,PZE-101039655,0.332347826086956,9,265179
1,27379439,PZE-101040594,27502892,PZE-101040677,1.71135714285714,14,123453
1,27804092,PZE-101041178,27909410,SYN24633,0.66484782608696,2,105318
1,28632923,PZE-101042039,28927650,PZE-101042341,0.345586956521739,8,294727
1,29550398,PZE-101043507,29757662,PZE-101043674,0.76231884057971,6,207264
1,30568749,PZE-101044686,31243619,SYN5392,1.54671739130435,29,674870
1,37776401,PZE-101053715,38010873,PZE-101053822,0.717981884057971,6,234472
1,38871055,SYN23289,38879590,SYN23288,0.55010869565217,3,8535
1,39116930,PZE-101055223,39142562,PZE-101055327,0.859034782608694,5,25632
