chr,start,start_snpid,end,end_snpid,mex,nsnp,dis
1,4862689,PZD00021.2,4994459,SYN11315,0.266789641943734,8,131770
1,16579851,SYN14297,16784467,PUT-163a-71311320-3113,0.274789641943734,7,204616
1,180625245,SYN19659,180693924,PZE-101139993,0.223471867007673,3,68679
1,206459390,PZE-101163181,206514625,PZE-101163301,0.277200341005968,3,55235
2,7950855,PZE-102017798,8293999,PZE-102018085,0.224072433321155,7,343144
2,28703513,SYN3933,28978517,SYN2075,0.200108695652174,7,275004
2,74307066,PZA03358.4,77919672,PZE-102086119,0.263124680306905,5,3612606
2,78324335,PZE-102086232,78500359,PZE-102086299,0.205973419802704,7,176024
2,103825503,PZE-102092979,104074786,PZE-102093139,0.239386668797954,4,249283
2,185440703,PZE-102135702,185645193,PZE-102136175,0.247265345268542,10,204490
2,198435382,SYN21754,198583708,SYN25689,0.2275,6,148326
3,3835786,PZE-103006822,3885697,SYNGENTA13501,0.257848465473146,10,49911
3,38602012,PZE-103041877,40321194,PZE-103042373,0.273111213235294,32,1719182
3,40322989,SYN18838,41403869,PZE-103043110,0.235407951223967,28,1080880
3,57148315,PZA03440.1,57148746,PZA03440.4,0.245783248081842,3,431
3,62611266,PZE-103054237,66312613,PZE-103055323,0.275327468487395,56,3701347
3,70162386,PZE-103057000,85057381,PZE-107023140,0.217519653747786,65,14894995
3,132399418,PZE-103079911,132483085,PZE-103079964,0.287459079283888,5,83667
3,157416569,PZE-103097514,157518069,PZE-103097579,0.210007992327366,8,101500
3,158888979,PZE-103098625,158901632,SYN25550,0.286552952801674,11,12653
3,177019447,PZE-103118331,177440321,SYN18157,0.210834398976982,12,420874
3,178411734,PZE-103119878,178606584,SYN37585,0.215022378516624,8,194850
3,227486499,PZE-103183147,227624308,PZE-103183235,0.226549232736572,5,137809
4,6410813,SYN9597,6413238,SYN9599,0.289716112531969,8,2425
4,240522833,PZE-104157783,241322382,PZE-104158108,0.244809462915601,16,799549
5,3038486,SYN22678,3090863,PZE-105006142,0.20463746803069,13,52377
5,31649634,SYN26666,31857877,PZE-105044304,0.248391997016198,12,208243
5,67668163,PZE-105065918,67671903,PZA03356.1,0.213990089514066,2,3740
5,86219837,PZE-105077140,86221850,PZE-105077135,0.223358375959079,2,2013
5,114768349,PZE-105087791,126261077,PZE-105090179,0.219017361794217,65,11492728
5,142788483,PZE-105096916,142790101,PZE-105096931,0.230886189258313,2,1618
5,211281947,SYN3905,211440562,SYN3377,0.20168989769821,6,158615
6,114178400,PZE-106062990,114178476,PZE-106062991,0.213526854219949,2,76
6,124531652,SYN7542,124709894,SYN32940,0.287765984654732,10,178242
6,130754308,PZE-106075520,131358442,SYN3818,0.254550511508951,19,604134
6,137891561,PZE-106080920,138187940,SYN15161,0.301692015664962,16,296379
7,36624405,PZE-107029548,36645508,SYN15935,0.201992966751918,9,21103
7,37834315,PZE-107029971,39506033,PZE-107030605,0.28104523657289,20,1671718
7,47925451,PZE-107034516,68348115,PZE-107036804,0.363542442455243,150,20422664
7,68866257,PZE-107036893,70261204,PZE-107037306,0.269776534526854,6,1394947
7,100622093,PZE-107051266,100887936,PZE-107051484,0.232791943734016,10,265843
7,106994874,PZE-107055210,106998922,PZE-107055217,0.290179028132992,2,4048
7,115724716,SYN17705,116375254,PZE-107060629,0.268776891830901,17,650538
7,156501153,SYN10135,156644703,SYN3654,0.210549232736573,7,143550
7,167715777,PZE-107123571,167716078,PZE-107123572,0.21918989769821,2,301
8,35815240,PZE-108031355,37640027,PZE-108032269,0.248408444816053,26,1824787
8,62557190,SYN19534,62665056,SYN22321,0.247592710997442,3,107866
8,79280537,PZE-108047286,79425335,PZE-108047362,0.222909633418584,3,144798
8,113759733,PZE-108063654,113759942,PZE-108063660,0.274281010230179,2,209
8,138224368,PZE-108081297,138224397,PZE-108081298,0.205490409207161,2,29
8,150870128,ZM013780-0381,150871515,PUT-163a-60346455-2553,0.210040537084399,5,1387
8,164898780,SYN30183,164899193,PZE-108113562,0.207966751918158,2,413
9,8779574,SYN19748,8806923,PZE-109008063,0.302189364876385,6,27349
9,11778827,PZE-109011385,12326292,SYN31969,0.213821611253197,18,547465
9,13450879,PZE-109013000,13451972,PZE-109013004,0.250439258312021,3,1093
9,39526860,PZE-109032648,42289811,PZE-109033621,0.294300057208238,38,2762951
9,73845746,PZE-109043384,74136775,PZE-109043553,0.238483887468031,10,291029
9,153694093,SYN15948,153736443,SYN15949,0.377334398976982,4,42350
10,8784556,SYN17279,8787048,SYNGENTA3653,0.227069479965899,6,2492
10,19643499,PZE-110017624,21551571,SYN16539,0.211808844154772,31,1908072
10,61384666,PZE-110032692,62371912,PZE-110033174,0.214448849104859,24,987246
10,79138690,PZE-110041376,79144162,PZE-110041371,0.251563725490196,3,5472
10,134219127,PZE-110079903,134583603,PZE-110080409,0.278758312020461,17,364476
10,134654046,SYN4826,134719287,PZE-110080741,0.254401108269395,6,65241
